,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
27,27,1633143600000,47708.51,47790.0,47443.98,47520.84,1385.9011,1633147199999,37423,0,64.7645905826361,0,0,0.0,0.0,0.006864684157494339,0,1,0,1,48442.99961408,0,47932.428888888884,0,46929.2525,45889.015,47969.490000000005,45889.015,1,0,1
28,28,1633147200000,47520.84,47716.9,47430.18,47569.92,1546.20462,1633150799999,42900,-1,65.39475125549743,0,0,0.02712919496337307,0.009043064987791024,0.0030143549959303416,0,0,0,1,48403.0388295168,0,47881.30888888889,0,46943.115,45889.015,47962.59,45923.64,1,0,1
29,29,1633150800000,47569.92,47853.15,47510.18,47749.32,940.76735,1633154399999,38149,-1,67.6707409596857,0,0,0.12511336166674616,0.050747518876706414,0.019930194621499146,1,0,0,1,48344.66729974579,0,47843.408888888895,0,46969.159999999996,45889.015,47962.59,45975.729999999996,1,0,1
30,30,1633154400000,47749.32,47900.0,47662.1,47801.94,907.83577,1633157999999,33900,-1,68.32871252327519,0,0,0.1534398498113067,0.10189413548047532,0.05389490644832425,1,0,0,1,48289.798061761045,0,47783.07666666666,1,46983.947499999995,45889.015,47962.59,46005.305,1,0,1
31,31,1633158000000,47801.94,47865.96,47705.04,47725.01,1040.20915,1633161599999,27235,-1,66.20719731564571,0,0,0.06210600089908365,0.11355307079237885,0.08873157504985352,1,0,0,1,48238.22097805538,0,47752.411111111105,0,46969.5475,45889.015,47827.095,46112.0,1,0,1
32,32,1633161600000,47725.0,47774.84,47516.56,47723.91,975.15432,1633165199999,32685,-1,66.17555835836748,0,0,0.060743904726782684,0.09209658514572434,0.10251459713952617,0,0,0,1,48189.73851937206,0,47706.0,1,47016.3625,45889.015,47827.095,46205.630000000005,1,0,1
33,33,1633165200000,47723.91,47899.01,47666.0,47708.43,822.47467,1633168799999,29267,-1,65.69973742258858,0,0,0.040259225992727306,0.05436971053953121,0.08667312215921147,0,0,0,1,48144.16500820974,0,47693.85555555556,1,47184.715,45889.015,47771.93,46597.5,1,0,1
34,34,1633168800000,47708.44,47762.29,47530.24,47606.05,749.13263,1633172399999,24884,-1,62.49901538452922,0,0,0.0,0.03366771023983666,0.060044668641697406,0,1,0,1,48101.32590771715,0,47679.32555555555,0,47148.1175,45889.015,47665.09,46631.145000000004,1,0,1
35,35,1633172400000,47606.04,47734.94,47478.44,47683.45,924.61599,1633175999999,30772,-1,63.92970219399761,0,0,0.08331968325654913,0.041192969749758813,0.04307679684304223,0,1,0,1,48061.05715325412,0,47676.54111111111,1,47163.645,45889.015,47665.09,46662.2,1,0,1
36,36,1633176000000,47683.46,47785.0,47616.8,47729.23,986.13851,1633179599999,30905,-1,64.78544569514847,0,0,0.1331560814066328,0.07215858822106064,0.04900642273688537,0,0,0,1,48023.20452405888,0,47699.695555555554,1,47647.215,45889.015,47665.09,47629.34,1,0,1
37,37,1633179600000,47729.24,48336.59,47630.1,47825.16,3093.39776,1633183199999,73910,-1,66.57493646475734,0,0,0.43911510043743407,0.21853028836687197,0.1106272821125638,1,0,0,0,47430.18,1,47728.055555555555,1,47768.4275,45889.015,47907.515,47629.34,1,0,1
38,38,1633183200000,47825.17,48123.44,47790.43,48019.26,1840.72216,1633186799999,61554,-1,69.90710535537258,0,0,0.9984579437265406,0.5235763751902024,0.2714217505927117,1,0,1,0,47448.3082,1,47758.048888888894,1,47768.4275,45889.015,47907.515,47629.34,1,0,1
39,39,1633186800000,48019.99,48054.48,47810.0,47828.52,1161.74641,1633190399999,42146,-1,63.23569039153522,0,0,0.09944196276035971,0.5123383356414447,0.418148333066173,1,0,0,1,47466.073835999996,1,47761.00222222222,1,47768.4275,45889.015,47907.515,47629.34,1,0,1
40,40,1633190400000,47831.94,48016.21,47650.0,48004.69,1728.70378,1633193999999,52041,-1,66.42292716287167,0,0,0.5296792822152702,0.5425263962340569,0.5261470356885679,1,0,0,0,47483.48415927999,1,47792.07777777778,1,47837.4925,45889.015,47907.515,47767.47,1,0,1
41,41,1633194000000,48004.69,48064.25,47826.19,47879.99,949.95603,1633197599999,36535,1,62.30543281042005,0,0,0.0,0.20970708165854327,0.4215239378446816,0,1,0,1,47500.54627609439,1,47809.420000000006,1,47885.7525,45889.015,47907.515,47863.990000000005,1,0,0
42,42,1633197600000,47879.99,47928.35,47720.0,47864.02,904.18793,1633201199999,35625,1,61.77727115478815,0,0,0.0,0.17655976073842336,0.30959774621034114,0,1,0,1,47517.2671505725,1,47826.707777777774,1,47926.76,45889.015,47907.515,47946.005000000005,0,0,0
43,43,1633201200000,47864.01,48267.0,47864.01,48239.99,1401.69915,1633204799999,46425,1,68.53885496589915,0,0,0.8317000869002873,0.27723336230009576,0.2211667348990208,0,0,1,0,47533.65360756105,1,47897.14555555556,1,47935.0525,45889.015,47907.515,47962.59,0,0,1
44,44,1633204800000,48240.0,48269.39,47874.98,47996.24,1146.99465,1633208399999,42467,1,61.00421191902811,0,0,0.0,0.27723336230009576,0.24367549511287165,0,0,0,1,47549.71233540983,1,47931.899999999994,1,47969.6425,45889.015,47976.695,47962.59,1,0,1
45,45,1633208400000,47996.24,48167.58,47988.77,48125.9,571.95336,1633211999999,39641,-1,63.314501096600466,0,0,0.2594986892846561,0.3637329253949811,0.30606654999839084,1,0,0,0,47565.44988870163,1,47975.974444444444,1,47972.9675,45889.015,47983.345,47962.59,1,0,1
46,46,1633212000000,48125.9,48300.0,48045.16,48049.34,904.85254,1633215599999,33403,1,61.01585590502231,0,0,0.0013078878319120733,0.08693552570552271,0.24263393780019984,0,1,0,1,47580.8726909276,1,48000.88333333333,1,47968.795,45889.015,47975.0,47962.59,1,0,1
47,47,1633215600000,48049.33,48184.0,47500.0,47634.9,1773.73217,1633219199999,68322,1,50.35776090899278,0,0,0.0,0.08693552570552271,0.17920132560200885,0,1,0,1,48336.59,0,47958.176666666666,0,47931.295,45889.015,47900.0,47962.59,0,0,0
48,48,1633219200000,47634.89,47808.19,47088.0,47272.06,2272.9527,1633222799999,81063,1,43.23694080899005,0,0,0.0,0.00043596261063735776,0.05810233800722759,0,1,0,1,48319.858199999995,0,47896.34777777778,0,47703.1475,45889.015,47694.0,47712.295,0,0,0
49,49,1633222800000,47274.57,47609.88,47223.27,47516.37,1187.82173,1633226399999,41056,1,48.51589108835714,0,0,0.1979346722884434,0.0659782240961478,0.051116570804102625,0,0,0,1,48270.583871999996,0,47842.09,0,47703.1475,45889.015,47694.0,47712.295,0,0,0
