,open_time,open,high,low,close,volume,close_time,count,long
1904,1639900800000,47515.09,47641.77,47405.0,47473.06,687.24313,1639904399999,26589,-1
1905,1639904400000,47473.03,47560.65,47000.0,47102.02,1635.40195,1639907999999,41957,-1
1906,1639908000000,47102.02,47222.0,46807.27,47125.01,1077.84148,1639911599999,34140,-1
1907,1639911600000,47125.01,47200.26,46964.46,47152.72,767.31963,1639915199999,26455,-1
1908,1639915200000,47155.24,47300.0,46867.01,47256.64,1111.78869,1639918799999,29894,-1
1909,1639918800000,47256.64,47777.0,46894.75,47629.95,1648.29469,1639922399999,46758,-1
1910,1639922400000,47629.95,48300.01,47000.0,47393.2,3709.81424,1639925999999,95735,-1
1911,1639926000000,47393.21,47470.01,47150.0,47239.8,786.11137,1639929599999,32092,-1
1912,1639929600000,47239.81,47500.0,47146.0,47162.04,780.38559,1639933199999,29791,-1
1913,1639933200000,47162.03,47237.92,47023.71,47141.22,791.62551,1639936799999,28631,-1
1914,1639936800000,47141.22,47178.91,46880.0,47121.57,751.59703,1639940399999,33125,-1
1915,1639940400000,47117.22,47153.79,46580.0,46673.93,1487.72658,1639943999999,42894,-1
1916,1639944000000,46673.94,46902.27,46482.9,46776.39,1033.95367,1639947599999,33629,-1
1917,1639947600000,46776.38,46884.95,46631.33,46730.35,597.90587,1639951199999,21846,-1
1918,1639951200000,46730.36,47550.0,46657.96,47296.66,1150.0924,1639954799999,40613,-1
1919,1639954800000,47296.66,47432.53,46600.0,46681.23,1282.52215,1639958399999,35187,-1
1920,1639958400000,46681.24,46900.0,46220.0,46880.83,1733.03255,1639961999999,49738,-1
1921,1639962000000,46880.83,47200.0,46493.19,46619.56,1539.83912,1639965599999,44388,-1
1922,1639965600000,46619.55,46831.57,46459.36,46731.84,980.7049,1639969199999,33329,-1
1923,1639969200000,46731.85,46846.0,46484.99,46687.22,1036.19149,1639972799999,34828,1
1924,1639972800000,46687.22,47032.87,46659.82,46967.48,873.9888,1639976399999,30834,1
1925,1639976400000,46967.48,47049.87,46376.02,46433.18,1375.30955,1639979999999,43525,1
1926,1639980000000,46433.17,46664.96,46250.0,46557.32,1477.90081,1639983599999,45453,1
1927,1639983600000,46557.32,46557.32,46103.0,46429.19,1340.34779,1639987199999,42817,1
1928,1639987200000,46429.19,46554.0,46141.64,46283.24,1265.59991,1639990799999,42375,1
1929,1639990800000,46278.32,46309.16,45819.02,45839.4,2346.10826,1639994399999,69949,1
1930,1639994400000,45839.4,46142.94,45750.0,45882.54,1435.92368,1639997999999,42562,1
1931,1639998000000,45882.55,46138.06,45822.0,46092.6,1067.69187,1640001599999,34377,1
1932,1640001600000,46092.6,46092.6,45650.0,45721.52,1275.36393,1640005199999,41307,1
1933,1640005200000,45721.52,45999.41,45581.94,45713.94,1317.09398,1640008799999,42840,1
